,data,target
0,29.1,0.0
1,19.7,0.0
2,23.2,0.0
3,37.9,0.0
4,38.9,0.0
5,35.0,0.0
6,29.5,0.0
7,27.7,0.0
8,34.8,0.0
9,35.6,0.0
10,26.5,0.0
11,19.9,0.0
12,12.7,0.0
13,17.4,0.0
14,15.9,0.0
15,12.7,0.0
16,8.7,0.0
17,26.811408873986903,1.0
18,8.2,0.0
19,9.0,0.0
20,14.8,0.0
21,23.6,0.0
22,44.871388893946374,1.0
23,23.5,0.0
24,21.1,0.0
25,-1.3016283190671523,1.0
26,16.2,0.0
27,21.0,0.0
28,28.7,0.0
29,20.7,0.0
30,18.0,0.0
31,23.2,0.0
32,25.8,0.0
33,20.8,0.0
34,17.2,0.0
35,18.3,0.0
36,15.5,0.0
37,46.87436111815248,1.0
38,19.9,0.0
39,15.3,0.0
40,11.8,0.0
41,15.7,0.0
42,30.1,0.0
43,22.2,0.0
44,16.9,0.0
45,19.0,0.0
46,20.1,0.0
47,19.1,0.0
48,17.7,0.0
49,14.0,0.0
50,12.6,0.0
51,13.7,0.0
52,13.3,0.0
53,15.3,0.0
54,21.1,0.0
55,22.1,0.0
56,24.4,0.0
57,-29.243943245873332,1.0
58,31.1,0.0
59,35.0,0.0
60,29.8,0.0
61,26.8,0.0
62,23.6,0.0
63,21.7,0.0
64,17.3,0.0
65,16.8,0.0
66,18.2,0.0
67,22.0,0.0
68,26.6,0.0
69,28.3,0.0
70,28.8,0.0
71,30.1,0.0
72,28.4,0.0
73,24.7,0.0
74,19.4,0.0
75,18.7,0.0
76,26.1,0.0
77,35.4,0.0
78,40.8,0.0
79,40.5,0.0
80,49.3,0.0
81,54.8,0.0
82,62.9652117420811,1.0
83,31.1,0.0
84,24.7,0.0
85,44.81435343830513,1.0
86,29.8,0.0
87,28.3,0.0
88,27.5,0.0
89,22.0,0.0
90,-8.82763611253953,1.0
91,23.5,0.0
92,29.9,0.0
93,34.6,0.0
94,13.12335002765225,1.0
95,28.9,0.0
96,28.1,0.0
97,30.0,0.0
98,33.6,0.0
99,38.7,0.0
100,37.7,0.0
101,32.6,0.0
102,31.9,0.0
